satisfactory_Level,last_Evaluation,number_Of_Projects,avg_Monthly_Hours,time_Spent_Company,work_Accident,left,promotion_In_Last5years,dept,salary
0,0.38,0.53,2,157,3,0,1,0,sales,low
1,0.8,0.86,5,262,6,0,1,0,sales,medium
2,0.11,0.88,7,272,4,0,1,0,sales,medium
3,0.37,0.52,2,159,3,0,1,0,sales,low
4,0.41,0.5,2,153,3,0,1,0,sales,low
5,0.1,0.77,6,247,4,0,1,0,sales,low
6,0.92,0.85,5,259,5,0,1,0,sales,low
7,0.42,0.53,2,142,3,0,1,0,sales,low
8,0.45,0.54,2,135,3,0,1,0,sales,low
9,0.11,0.81,6,305,4,0,1,0,sales,low
10,0.36,0.56,2,137,3,0,1,0,sales,low
11,0.38,0.54,2,143,3,0,1,0,sales,low
12,0.45,0.47,2,160,3,0,1,0,sales,low
13,0.78,0.99,4,255,6,0,1,0,sales,low
14,0.76,0.89,5,262,5,0,1,0,sales,low
15,0.11,0.83,6,282,4,0,1,0,sales,low
16,0.09,0.95,6,304,4,0,1,0,sales,low
17,0.46,0.57,2,139,3,0,1,0,sales,low
18,0.4,0.53,2,158,3,0,1,0,sales,low
19,0.89,0.92,5,242,5,0,1,0,sales,low
20,0.82,0.87,4,239,5,0,1,0,sales,low
21,0.4,0.49,2,135,3,0,1,0,sales,low
22,0.38,0.5,2,132,3,0,1,0,accounting,low
23,0.09,0.62,6,294,4,0,1,0,accounting,low
24,0.45,0.57,2,134,3,0,1,0,hr,low
25,0.4,0.51,2,145,3,0,1,0,hr,low
26,0.84,0.87,4,246,6,0,1,0,hr,low
27,0.38,0.46,2,137,3,0,1,0,technical,low
28,0.45,0.5,2,126,3,0,1,0,technical,low
29,0.11,0.89,6,306,4,0,1,0,technical,low
30,0.87,0.88,5,269,5,0,1,0,technical,low
31,0.1,0.8,7,281,4,0,1,0,technical,low
32,0.09,0.89,6,276,4,0,1,0,technical,low
33,0.57,0.7,3,273,6,0,1,0,support,low
34,0.43,0.47,2,147,3,0,1,0,support,low
35,0.13,0.78,6,152,2,0,1,0,support,low
36,0.39,0.54,2,132,3,0,1,0,support,low
37,0.1,0.92,7,307,4,0,1,0,support,low
38,0.37,0.46,2,140,3,0,1,0,support,low
39,0.38,0.54,2,128,3,0,1,0,technical,low
40,0.1,0.95,6,244,5,0,1,0,IT,medium
41,0.76,0.86,5,223,5,1,1,0,product_mng,medium
42,0.74,0.99,2,277,3,0,1,0,IT,medium
43,0.09,0.77,5,275,4,0,1,0,product_mng,medium
44,0.45,0.49,2,149,3,0,1,0,product_mng,high
45,0.09,0.87,7,295,4,0,1,0,product_mng,low
46,0.11,0.97,6,277,4,0,1,0,product_mng,medium
47,0.11,0.79,7,306,4,0,1,0,product_mng,medium
48,0.1,0.83,6,295,4,0,1,0,product_mng,medium
49,0.4,0.54,2,137,3,0,1,0,marketing,medium
50,0.39,0.56,2,142,3,0,1,0,accounting,low
51,0.45,0.54,2,140,3,0,1,0,support,low
52,0.79,0.59,4,139,3,0,1,1,management,low
53,0.44,0.45,2,132,3,0,1,0,sales,low
54,0.37,0.57,2,130,3,0,1,0,sales,low
55,0.1,0.79,6,291,4,0,1,0,sales,low
56,0.4,0.5,2,130,3,0,1,0,sales,low
57,0.89,1.0,5,246,5,0,1,0,sales,low
58,0.09,0.83,6,255,4,0,1,0,sales,low
59,0.37,0.51,2,155,3,0,1,0,sales,low
60,0.1,0.77,6,265,4,0,1,0,sales,low
61,0.1,0.84,6,279,4,0,1,0,sales,low
62,0.11,0.97,6,284,4,0,1,0,sales,low
63,0.9,1.0,5,221,6,0,1,0,sales,medium
64,0.38,0.52,2,154,3,0,1,0,sales,medium
65,0.42,0.46,2,150,3,0,1,0,sales,medium
66,0.09,0.94,7,267,4,0,1,0,sales,medium
67,0.71,0.87,3,177,4,0,1,0,hr,medium
68,0.4,0.49,2,155,3,0,1,0,hr,medium
69,0.43,0.47,2,144,3,0,1,0,hr,medium
70,0.09,0.85,6,289,4,0,1,0,hr,high
71,0.43,0.52,2,160,3,0,1,0,technical,low
72,0.9,0.96,4,258,5,0,1,0,technical,medium
73,0.37,0.48,2,137,3,0,1,0,technical,medium
74,0.11,0.84,6,251,4,0,1,0,technical,low
75,0.37,0.57,2,133,3,0,1,0,technical,low
76,0.46,0.49,2,138,3,0,1,0,support,low
77,0.38,0.49,2,132,3,0,1,0,support,low
78,0.7,0.89,3,183,5,0,1,0,support,low
79,0.09,0.82,6,250,4,0,1,0,support,low
80,0.37,0.45,2,151,3,0,1,0,support,low
81,0.44,0.51,2,138,3,0,1,0,support,low
82,0.31,0.84,7,133,5,0,1,0,technical,low
83,0.1,0.84,6,283,4,1,1,0,technical,low
84,0.74,1.0,4,249,5,0,1,0,IT,low
85,0.73,0.87,5,257,5,0,1,0,IT,low
86,0.09,0.96,6,245,4,0,1,0,IT,low
87,0.45,0.53,2,155,3,0,1,0,IT,low
88,0.11,0.8,6,256,4,0,1,0,IT,low
89,0.84,0.99,4,267,5,0,1,0,product_mng,low
90,0.41,0.46,2,151,3,0,1,0,product_mng,low
91,0.11,0.87,6,306,4,0,1,0,IT,low
92,0.39,0.5,2,147,3,0,1,0,marketing,low
93,0.11,0.91,6,278,4,0,1,0,marketing,low
94,0.45,0.56,2,154,3,0,1,0,marketing,low
95,0.4,0.52,2,155,3,0,1,0,marketing,low
96,0.39,0.48,2,160,3,0,1,0,sales,low
97,0.83,1.0,5,240,5,0,1,0,support,low
98,0.11,0.92,6,305,4,0,1,0,technical,low
99,0.39,0.5,2,136,3,0,1,0,management,low
100,0.45,0.45,2,132,3,0,1,0,marketing,low
101,0.1,0.95,7,301,4,0,1,0,marketing,low
102,0.9,0.98,5,243,6,0,1,0,marketing,low
103,0.79,0.89,5,239,5,0,1,0,sales,low
104,0.9,0.99,5,260,5,0,1,0,sales,low
105,0.11,0.84,7,296,4,0,1,0,sales,low
106,0.43,0.55,2,129,3,0,1,0,sales,low
107,0.31,0.54,5,132,5,0,1,0,sales,low
108,0.32,0.5,2,135,5,0,1,0,sales,low
109,0.45,0.57,2,158,3,0,1,0,sales,low
110,0.11,0.78,7,278,4,0,1,0,sales,low
111,0.1,0.88,6,284,4,0,1,0,sales,low
112,0.7,0.53,2,274,4,0,1,0,sales,low
113,0.54,0.74,4,164,2,0,1,0,sales,low
114,0.41,0.48,2,148,3,0,1,0,sales,low
115,0.37,0.51,2,127,3,0,1,0,sales,medium
116,0.4,0.47,2,146,3,0,1,0,sales,medium
117,0.1,0.84,6,261,4,0,1,0,accounting,medium
118,0.89,0.99,5,257,5,0,1,0,accounting,medium
119,0.11,0.8,6,285,4,0,1,0,accounting,medium
120,0.36,0.55,2,141,3,0,1,0,hr,medium
121,0.09,0.85,6,297,4,0,1,0,hr,medium
122,0.09,0.8,7,283,5,0,1,0,technical,low
123,0.92,0.87,4,226,6,1,1,0,technical,medium
124,0.09,0.82,6,249,4,0,1,0,technical,medium
125,0.89,0.95,4,275,5,0,1,0,technical,medium
126,0.09,0.8,6,304,4,0,1,0,technical,low
127,0.1,0.89,7,285,4,0,1,0,technical,low
128,0.77,0.94,5,226,6,0,1,0,support,low
129,0.9,0.82,5,259,5,0,1,0,support,low
130,0.39,0.5,2,135,3,0,1,0,support,low
131,0.76,1.0,5,219,5,0,1,0,support,low
132,0.87,0.9,5,254,6,0,1,0,support,low
133,0.77,0.99,5,228,5,0,1,0,support,low
134,0.78,0.87,4,228,5,0,1,0,support,low
135,0.44,0.5,2,128,3,0,1,0,support,low
136,0.39,0.5,4,294,3,0,1,0,technical,low
137,0.88,1.0,5,219,5,0,1,0,technical,low
138,0.45,0.46,2,153,3,0,1,0,management,low
139,0.4,0.53,2,151,3,0,1,0,IT,low
140,0.36,0.51,2,155,3,0,1,0,IT,low
141,0.36,0.48,2,158,3,0,1,0,IT,low
142,0.9,0.98,5,245,5,0,1,0,IT,low
143,0.89,0.87,5,225,5,0,1,0,product_mng,low
144,0.37,0.5,2,135,3,0,1,0,product_mng,low
145,0.37,0.51,2,153,3,0,1,0,product_mng,low
146,0.87,0.9,5,252,5,0,1,0,IT,low
147,0.4,0.56,2,149,3,0,1,0,accounting,low
148,0.9,0.97,4,258,5,0,1,0,accounting,low
149,0.37,0.46,2,158,3,0,1,0,hr,low
150,0.44,0.54,2,149,3,0,1,0,hr,low
151,0.85,0.95,5,236,5,0,1,0,hr,low
152,0.78,0.98,5,239,6,0,1,0,marketing,low
153,0.42,0.47,2,159,3,0,1,0,marketing,low
154,0.92,0.99,5,255,6,0,1,0,sales,low
155,0.42,0.56,2,134,3,0,1,0,support,low
156,0.48,0.57,4,270,4,0,1,0,technical,low
157,0.83,0.85,4,255,5,0,1,0,management,low
158,0.43,0.45,2,135,3,0,1,0,marketing,low
159,0.1,0.97,7,254,4,0,1,0,sales,low
160,0.1,0.87,7,289,4,0,1,0,sales,low
161,0.37,0.46,2,156,3,0,1,0,sales,low
162,0.38,0.53,2,156,3,0,1,0,sales,low
163,0.4,0.5,2,128,3,0,1,0,sales,low
164,0.45,0.46,2,155,3,0,1,0,sales,low
165,0.87,0.91,4,228,5,0,1,0,sales,low
166,0.11,0.84,6,298,4,0,1,0,sales,low
167,0.79,0.87,5,261,5,0,1,0,sales,low
168,0.79,0.92,5,254,6,0,1,0,sales,low
169,0.87,0.98,4,248,5,0,1,0,sales,low
170,0.42,0.54,2,156,3,0,1,0,sales,medium
171,0.11,0.84,6,287,4,0,1,0,accounting,medium
172,0.46,0.46,2,154,3,0,1,0,accounting,medium
173,0.44,0.56,2,131,3,0,1,0,hr,medium
174,0.11,0.78,6,260,4,0,1,0,hr,medium
175,0.42,0.5,2,139,3,0,1,0,hr,medium
176,0.38,0.56,2,156,3,0,1,0,technical,low
177,0.38,0.86,6,139,6,0,1,0,technical,medium
178,0.44,0.51,2,127,3,0,1,0,technical,medium
179,0.81,0.93,5,270,5,0,1,0,technical,medium
180,0.09,0.96,6,296,4,0,1,0,technical,low
181,0.1,0.97,6,267,4,1,1,0,support,low
182,0.74,0.89,5,229,6,0,1,0,support,low
183,0.09,0.78,6,254,4,0,1,0,support,low
184,0.82,0.81,4,233,4,1,1,0,support,low
185,0.1,0.98,6,268,4,0,1,0,support,low
186,0.83,0.92,5,267,6,0,1,0,support,low
187,0.1,0.93,6,289,4,1,1,0,support,low
188,0.38,0.47,2,144,3,0,1,0,support,low
189,0.11,0.79,6,292,4,0,1,1,technical,low
190,0.82,0.91,5,232,5,0,1,0,technical,low
191,0.36,0.48,2,137,3,0,1,0,technical,low
192,0.4,0.46,2,128,3,0,1,0,management,low
193,0.38,0.51,2,146,3,0,1,0,IT,medium
194,0.39,0.55,2,156,3,0,1,0,product_mng,medium
195,0.45,0.48,2,136,3,0,1,0,product_mng,medium
196,0.74,0.84,5,249,5,0,1,0,product_mng,medium
197,0.45,0.55,2,151,3,0,1,0,IT,medium
198,0.12,1.0,3,278,4,0,1,0,RandD,medium
199,0.1,0.77,7,250,5,0,1,0,RandD,medium
200,0.37,0.55,2,127,3,0,1,0,RandD,medium
201,0.37,0.46,2,149,3,0,1,0,marketing,high
202,0.11,0.81,5,287,4,0,1,0,sales,low
203,0.41,0.48,2,145,3,0,1,0,accounting,medium
204,0.1,0.94,6,285,4,0,1,0,support,medium
205,0.11,0.95,7,300,4,0,1,0,management,medium
206,0.4,0.54,2,139,3,0,1,0,marketing,low
207,0.41,0.49,2,130,3,0,1,0,marketing,low
208,0.1,0.81,6,268,4,0,1,0,marketing,low
209,0.73,0.86,4,245,6,0,1,0,sales,low
210,0.43,0.47,2,135,3,0,1,0,sales,low
211,0.37,0.46,2,153,3,0,1,0,sales,low
212,0.11,0.94,6,276,4,0,1,0,sales,low
213,0.82,0.84,5,244,5,0,1,0,sales,low
214,0.61,0.47,2,253,3,0,1,0,sales,low
215,0.11,0.91,7,287,4,0,1,0,sales,low
216,0.37,0.45,2,131,3,0,1,0,sales,low
217,0.37,0.52,2,157,3,0,1,0,sales,low
218,0.88,0.99,5,262,6,0,1,0,sales,low
219,0.1,0.85,6,266,4,0,1,0,sales,low
220,0.38,0.57,2,140,3,0,1,0,sales,low
221,0.09,0.98,6,271,4,0,1,0,sales,low
222,0.45,0.52,2,145,3,0,1,0,sales,medium
223,0.1,0.81,6,290,4,0,1,0,accounting,medium
224,0.45,0.47,2,151,3,0,1,0,accounting,medium
225,0.77,0.87,5,266,5,0,1,0,accounting,medium
226,0.39,0.5,2,142,3,0,1,0,hr,medium
227,0.09,0.89,7,308,5,0,1,0,hr,medium
228,0.9,1.0,5,232,5,0,1,0,technical,medium
229,0.41,0.56,2,143,3,0,1,0,technical,medium
230,0.37,0.52,2,155,3,0,1,0,technical,medium
231,0.1,0.86,6,278,4,0,1,0,technical,high
232,0.81,1.0,4,253,5,0,1,0,technical,low
233,0.11,0.8,6,282,4,0,1,0,technical,medium
234,0.09,0.8,6,304,5,0,1,0,technical,medium
235,0.48,0.93,3,219,6,0,1,0,technical,low
236,0.91,0.91,4,262,6,0,1,0,support,low
237,0.43,0.57,2,135,3,0,1,0,support,low
238,0.41,0.57,2,136,3,0,1,0,support,low
239,0.41,0.55,2,154,3,0,1,0,support,low
240,0.37,0.54,2,149,3,0,1,0,support,low
241,0.09,0.91,6,275,4,0,1,0,support,low
242,0.76,0.9,4,263,5,0,1,0,support,low
243,0.41,0.54,2,145,3,0,1,0,support,low
244,0.4,0.5,2,141,3,1,1,0,technical,low
245,0.91,0.87,4,235,5,0,1,0,technical,low
246,0.1,0.83,6,258,4,0,1,0,management,low
247,0.1,0.82,6,266,4,0,1,0,IT,low
248,0.37,0.45,2,142,3,0,1,0,IT,low
249,0.39,0.48,2,141,3,0,1,0,product_mng,medium
250,0.86,0.84,5,254,5,0,1,0,product_mng,medium
251,0.73,0.99,5,262,5,0,1,0,product_mng,medium
252,0.56,0.71,4,296,2,0,1,0,IT,medium
253,0.44,0.56,2,158,3,0,1,0,accounting,medium
254,0.31,0.56,4,238,2,0,1,0,accounting,medium
255,0.44,0.45,2,156,3,0,1,0,hr,medium
256,0.45,0.48,2,144,3,0,1,0,marketing,medium
257,0.75,0.9,5,256,5,0,1,0,support,low
258,0.78,1.0,4,253,5,0,1,0,marketing,low
259,0.84,1.0,4,261,5,0,1,0,sales,low
260,0.11,0.93,6,282,4,0,1,0,sales,low
261,0.42,0.56,2,133,3,0,1,0,sales,low
262,0.45,0.46,2,128,3,0,1,0,sales,low
264,0.1,0.87,6,250,4,0,1,0,sales,low
265,0.91,1.0,5,251,6,0,1,0,sales,low
266,0.76,0.92,4,246,5,0,1,0,sales,low
267,0.92,0.93,5,240,5,0,1,0,sales,low
268,0.76,0.87,5,245,5,0,1,0,sales,low
269,0.47,0.5,4,254,4,0,1,0,sales,low
270,0.09,0.94,6,257,4,0,1,0,sales,low
271,0.82,0.98,4,233,5,0,1,0,sales,low
272,0.28,0.45,6,218,4,0,1,0,accounting,low
273,0.42,0.48,2,155,3,0,1,0,hr,medium
274,0.82,1.0,4,229,6,0,1,0,hr,medium
275,0.11,0.9,6,264,4,0,1,0,technical,medium
276,0.42,0.53,3,199,4,0,1,0,technical,medium
277,0.82,0.85,4,223,5,0,1,0,technical,medium
278,0.09,0.96,6,268,4,0,1,0,technical,medium
279,0.1,0.94,6,287,4,0,1,0,technical,medium
280,0.86,1.0,5,257,5,0,1,0,technical,medium
281,0.4,0.46,2,143,3,0,1,0,technical,high
282,0.45,0.46,2,130,3,0,1,0,technical,low
283,0.74,0.92,4,261,5,0,1,0,technical,medium
284,0.55,0.6,3,180,4,0,1,0,technical,medium
285,0.89,0.65,5,195,6,0,1,0,support,low
286,0.41,0.57,2,160,3,0,1,0,support,low
287,0.44,0.51,2,150,3,0,1,0,support,low
288,0.1,0.84,6,309,4,0,1,0,support,low
289,0.41,0.47,2,135,3,0,1,0,support,low
290,0.11,0.85,6,261,4,0,1,0,support,low
291,0.41,0.52,2,136,3,0,1,0,technical,low
292,0.77,1.0,5,229,5,0,1,0,management,low
